  120  1.0000E+02
    i  x                       den                     ener                    pres                    vel                     cs
   75  6.2184873949579832E-01  1.1724083057873069E+01  1.5413356450888822E-05  1.2047164748721615E-04  1.5361268831445393E-03  4.1383513156930856E-03
   76  6.3025210084033613E-01  1.2567019801060338E+01  1.4526984458368922E-05  1.2170726755867869E-04  1.5609128749298021E-03  4.0175980190447298E-03
   77  6.3865546218487395E-01  1.3469538333443382E+01  1.3703815462038112E-05  1.2305604512023766E-04  1.5861129345325140E-03  3.9021098939531152E-03
   78  6.4705882352941176E-01  1.4436803689307368E+01  1.2938645569941480E-05  1.2452845739918107E-04  1.6117569972706939E-03  3.7916055775212873E-03
   79  6.5546218487394958E-01  1.5474593798677588E+01  1.2226759695752383E-05  1.2613609317720728E-04  1.6378764286443407E-03  3.6858226423467506E-03
   80  6.6386554621848739E-01  1.6589388068398123E+01  1.1563879935722505E-05  1.2789179455337559E-04  1.6645039899102054E-03  3.5845160739123654E-03
   81  6.7226890756302521E-01  1.7788470301308999E+01  1.0946119902755737E-05  1.2980981920315852E-04  1.6916737802315661E-03  3.4874568739278160E-03
   82  6.8067226890756303E-01  1.9080048512653863E+01  1.0369944257035865E-05  1.3190602633184042E-04  1.7194211510839620E-03  3.3944307749010593E-03
   83  6.8907563025210084E-01  2.0473394700696155E+01  9.8321327769155276E-06  1.3419809006096223E-04  1.7477825882296938E-03  3.3052370526711979E-03
   84  6.9747899159663866E-01  2.1979008231496018E+01  9.3297484028839619E-06  1.3670574462984896E-04  1.7767955563002538E-03  3.2196874249398052E-03
   85  7.0588235294117647E-01  2.3608807230409944E+01  8.8601087638363736E-06  1.3945106656391913E-04  1.8064983009028837E-03  3.1376050250392459E-03
   86  7.1428571428571429E-01  2.5376353266103328E+01  8.4207607606311572E-06  1.4245879988741148E-04  1.8369296032641343E-03  3.0588234413162409E-03
   87  7.2268907563025210E-01  2.7297115706115559E+01  8.0094578387730776E-06  1.4575673157882864E-04  1.8681284828203614E-03  2.9831858136289053E-03
