 1000  5.0000E+02
    i  x                       den                     ener                    pres                    vel                     cs
   27  2.6026026026026026E-02  3.5244008665971078E-04  5.8183494823111659E-01  1.3670797305081538E-04  1.2492492493162651E-05  8.0404183710323918E-01
   28  2.7027027027027027E-02  4.1767854971405772E-04  4.9095640589583321E-01  1.3670797305826525E-04  1.2972972973862390E-05  7.3858453657116119E-01
   29  2.8028028028028028E-02  4.9194480029835925E-04  4.1683936790617252E-01  1.3670797306739757E-04  1.3453453454621775E-05  6.8055481280281944E-01
   30  2.9029029029029029E-02  5.7609780976803532E-04  3.5594990319497071E-01  1.3670797307851122E-04  1.3933933935453999E-05  6.2888782182425538E-01
   31  3.0030030030030030E-02  6.7104381810700269E-04  3.0558654160080310E-01  1.3670797309194489E-04  1.4414414416374553E-05  5.8270112560271422E-01
   32  3.1031031031031031E-02  7.7773717077939753E-04  2.6366485667210843E-01  1.3670797310808065E-04  1.4894894897401524E-05  5.4125867370223110E-01
   33  3.2032032032032032E-02  8.9718114126464407E-04  2.2856249452810783E-01  1.3670797312734784E-04  1.5375375378555925E-05  5.0394278172571651E-01
   34  3.3033033033033033E-02  1.0304287399867276E-03  1.9900644437380686E-01  1.3670797315022707E-04  1.5855855859862049E-05  4.7023214641967225E-01
   35  3.4034034034034034E-02  1.1785835102915678E-03  1.7399018226137559E-01  1.3670797317725448E-04  1.6336336341347854E-05  4.3968446042004006E-01
   36  3.5035035035035035E-02  1.3428003120756230E-03  1.5271217765548946E-01  1.3670797320902617E-04  1.6816816823045377E-05  4.1192256237670243E-01
   37  3.6036036036036036E-02  1.5242860936234444E-03  1.3452983710022758E-01  1.3670797324620282E-04  1.7297297304991190E-05  3.8662332673809357E-01
   38  3.7037037037037037E-02  1.7243006521711369E-03  1.1892471285449555E-01  1.3670797328951459E-04  1.7777777787226874E-05  3.6350869293364691E-01
   39  3.8038038038038038E-02  1.9441573836759815E-03  1.0547600813156461E-01  1.3670797333976613E-04  1.8258258269799548E-05  3.4233837732662599E-01
   40  3.9039039039039039E-02  2.1852240222393111E-03  9.3840246130291657E-02  1.3670797339784193E-04  1.8738738752762416E-05  3.2290391782195600E-01
   41  4.0040040040040040E-02  2.4489233695997070E-03  8.3735556098918015E-02  1.3670797346471174E-04  1.9219219236175371E-05  3.0502378067386087E-01
   42  4.1041041041041041E-02  2.7367340150862921E-03  7.4929444798707883E-02  1.3670797354143635E-04  1.9699699720105625E-05  2.8853931909746891E-01
   43  4.2042042042042042E-02  3.0501910463970623E-03  6.7229218538944617E-02  1.3670797362917352E-04  2.0180180204628389E-05  2.7331141891611201E-01
   44  4.3043043043043043E-02  3.3908867515445093E-03  6.0474435042801962E-02  1.3670797372918413E-04  2.0660660689827595E-05  2.5921770139059641E-01
   45  4.4044044044044044E-02  3.7604713122900435E-03  5.4530920125376453E-02  1.3670797384283863E-04  2.1141141175796663E-05  2.4615018027703796E-01
   46  4.5045045045045045E-02  4.1606534893696905E-03  4.9285998336886463E-02  1.3670797397162363E-04  2.1621621662639314E-05  2.3401329102065612E-01
   47  4.6046046046046046E-02  4.5932012997960513E-03  4.4644671067394407E-02  1.3670797411714878E-04  2.2102102150470434E-05  2.2272222627048850E-01
   48  4.7047047047047047E-02  5.0599426865054144E-03  4.0526538367444296E-02  1.3670797428115390E-04  2.2582582639416986E-05  2.1220152467628057E-01
   49  4.8048048048048048E-02  5.5627661806040553E-03  3.6863307757437865E-02  1.3670797446551632E-04  2.3063063129618977E-05  2.0238387001339220E-01
   50  4.9049049049049049E-02  6.1036215564540325E-03  3.3596768756338285E-02  1.3670797467225847E-04  2.3543543621230476E-05  1.9320906568429468E-01
   51  5.0050050050050050E-02  6.6845204798260830E-03  3.0677138767726361E-02  1.3670797490355570E-04  2.4024024114420688E-05  1.8462315602848463E-01
   52  5.1051051051051051E-02  7.3075371493354348E-03  2.8061706502753182E-02  1.3670797516174442E-04  2.4504504609375090E-05  1.7657767098913719E-01
   53  5.2052052052052052E-02  7.9748089313654149E-03  2.5713714891334165E-02  1.3670797544933039E-04  2.4984985106296618E-05  1.6902897480522276E-01
