 1000  1.0000E+02
    i  x                       den                     ener                    pres                    vel                     cs
   89  8.8088088088088088E-02  1.5418315755763739E+00  9.1754554830261437E-04  9.4313379893500526E-04  2.1141347104400322E-04  3.1929532625291771E-02
   90  8.9089089089089089E-02  1.6222619518847792E+00  8.7205678143210225E-04  9.4313635760026704E-04  2.1381605560309866E-04  3.1127993500529432E-02
   91  9.0090090090090090E-02  1.7059187917419036E+00  8.2929423482259262E-04  9.4313907937805584E-04  2.1621865396296755E-04  3.0355197885893771E-02
   92  9.1091091091091091E-02  1.7928935475779191E+00  7.8906690301360737E-04  9.4314197268025896E-04  2.1862126699823117E-04  2.9609812619272900E-02
   93  9.2092092092092092E-02  1.8832792149459834E+00  7.5119905649218849E-04  9.4314504625251485E-04  2.2102389562834960E-04  2.8890580096714118E-02
   94  9.3093093093093093E-02  1.9771703416338755E+00  7.1552887173408175E-04  9.4314830918358397E-04  2.2342654081938962E-04  2.8196313228940682E-02
   95  9.4094094094094094E-02  2.0746630367701758E+00  6.8190719711995112E-04  9.4315177091487781E-04  2.2582920358584197E-04  2.7525890784252785E-02
   96  9.5095095095095095E-02  2.1758549799280644E+00  6.5019643998608442E-04  9.4315544125014714E-04  2.2823188499248856E-04  2.6878253084481275E-02
   97  9.6096096096096096E-02  2.2808454302298923E+00  6.2026956180252885E-04  9.4315933036533049E-04  2.3063458615632069E-04  2.6252398023853171E-02
   98  9.7097097097097097E-02  2.3897352354557685E+00  5.9200916998573984E-04  9.4316344881856409E-04  2.3303730824850884E-04  2.5647377383483522E-02
   99  9.8098098098098098E-02  2.5026268411594985E+00  5.6530669617730912E-04  9.4316780756035437E-04  2.3544005249642510E-04  2.5062293416766976E-02
  100  9.9099099099099099E-02  2.6196242997953027E+00  5.4006165198056076E-04  9.4317241794391399E-04  2.3784282018571890E-04  2.4496295683237968E-02
  101  1.0010010010010010E-01  2.7408332798588451E+00  5.1618095416455089E-04  9.4317729173566285E-04  2.4024561266244698E-04  2.3948578110530230E-02
  102  1.0110110110110110E-01  2.8663610750462077E+00  4.9357831223898934E-04  9.4318244112589490E-04  2.4264843133525836E-04  2.3418376265920112E-02
  103  1.0210210210210210E-01  2.9963166134345522E+00  4.7217367208991747E-04  9.4318787873961221E-04  2.4505127767763527E-04  2.2904964820606943E-02
  104  1.0310310310310310E-01  3.1308104666883269E+00  4.5189271005849546E-04  9.4319361764752734E-04  2.4745415323019074E-04  2.2407655191387297E-02
  105  1.0410410410410410E-01  3.2699548592949931E+00  4.3266637245594443E-04  9.4319967137723527E-04  2.4985705960302386E-04  2.1925793345736393E-02
  106  1.0510510510510511E-01  3.4138636778343688E+00  4.1443045604689688E-04  9.4320605392455612E-04  2.5225999847813341E-04  2.1458757757534617E-02
  107  1.0610610610610611E-01  3.5626524802858133E+00  3.9712522551008716E-04  9.4321277976505002E-04  2.5466297161189089E-04  2.1005957501784191E-02
  108  1.0710710710710711E-01  3.7164385053776109E+00  3.8069506430721988E-04  9.4321986386570519E-04  2.5706598083757367E-04  2.0566830477662595E-02
  109  1.0810810810810811E-01  3.8753406819830464E+00  3.6508815576472476E-04  9.4322732169680079E-04  2.5946902806795923E-04  2.0140841750166495E-02
  110  1.0910910910910911E-01  4.0394796385678100E+00  3.5025619150479291E-04  9.4323516924394573E-04  2.6187211529798134E-04  1.9727482001422194E-02
  111  1.1011011011011011E-01  4.2089777126935121E+00  3.3615410465668800E-04  9.4324342302029480E-04  2.6427524460744900E-04  1.9326266083484760E-02
  112  1.1111111111111111E-01  4.3839589605822452E+00  3.2273982554127324E-04  9.4325210007894364E-04  2.6667841816382913E-04  1.8936731665125593E-02
  113  1.1211211211211211E-01  4.5645491667472845E+00  3.0997405775486762E-04  9.4326121802550380E-04  2.6908163822509384E-04  1.8558437965724128E-02
  114  1.1311311311311311E-01  4.7508758536951818E+00  2.9782007278632419E-04  9.4327079503085946E-04  2.7148490714263313E-04  1.8190964569939789E-02
  115  1.1411411411411411E-01  4.9430682917046761E+00  2.8624352148657215E-04  9.4328084984410735E-04  2.7388822736423405E-04  1.7833910317350550E-02
  116  1.1511511511511512E-01  5.1412575086880177E+00  2.7521226087537393E-04  9.4329140180568121E-04  2.7629160143712706E-04  1.7486892261709561E-02
  117  1.1611611611611612E-01  5.3455763001404803E+00  2.6469619491799400E-04  9.4330247086066257E-04  2.7869503201110061E-04  1.7149544694895418E-02
  118  1.1711711711711712E-01  5.5561592391840233E+00  2.5466712803685256E-04  9.4331407757227934E-04  2.8109852184168479E-04  1.6821518231018949E-02
  119  1.1811811811811812E-01  5.7731426867112525E+00  2.4509863024179959E-04  9.4332624313559387E-04  2.8350207379340505E-04  1.6502478946503078E-02
  120  1.1911911911911912E-01  5.9966648016360292E+00  2.3596591286893776E-04  9.4333898939138219E-04  2.8590569084310678E-04  1.6192107572275855E-02
  121  1.2012012012012012E-01  6.2268655512572751E+00  2.2724571401330463E-04  9.4335233884020621E-04  2.8830937608335175E-04  1.5890098734512656E-02
  122  1.2112112112112112E-01  6.4638867217427337E+00  2.1891619282639721E-04  9.4336631465668060E-04  2.9071313272588737E-04  1.5596160240634631E-02
  123  1.2212212212212212E-01  6.7078719287396586E+00  2.1095683192654245E-04  9.4338094070393622E-04  2.9311696410518958E-04  1.5310012407518830E-02
  124  1.2312312312312312E-01  6.9589666281196251E+00  2.0334834723942255E-04  9.4339624154828207E-04  2.9552087368208050E-04  1.5031387429103238E-02
  125  1.2412412412412412E-01  7.2173181268648871E+00  1.9607260464848194E-04  9.4341224247406754E-04  2.9792486504742151E-04  1.4760028780778999E-02
  126  1.2512512512512513E-01  7.4830755941039335E+00  1.8911254289120651E-04  9.4342896949874719E-04  3.0032894192588303E-04  1.4495690658154103E-02
